,oclc_number,title,author,format,language,date,publisher
78,549028728.0,"社会学理论的结构 /
She hui xue li lun de jie gou",by Te na.; J  H Torner; Wu qu hui.;,Print book,Chinese,1987,"浙江人民出版社, Hang zhou : Zhe jiang ren min chu ban she"
79,549028728.0,"社会学理论的结构 /
She hui xue li lun de jie gou",by 特纳. TeNa.; qu hui Wu,Print book,Chinese,"1987
Di 1 ban","浙江人民出版社, Hang zhou : Zhe jiang ren min chu ban she"
80,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4. edition","Chicago, Ill. : The Dorsey Press"
81,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4th ed","Belmont, California : Wadsworth"
82,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4th ed",Belmont : Wadsworth Publishing Company
83,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4. ed","Chicago, Ill. : Dorsey Press"
84,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4. ed.","Belmont, Calif. : Wadsworth"
85,549028728.0,THE STRUCTURE OF SOCIOLOGICAL THEORY.,by JONATHAN H TURNER,Print book,English,"1986
4. ed","BELMONT, CAL : WADSWORTH PUBL"
86,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
Fourth edition","Chicago, Ill. : Dorsey Press"
87,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4th ed","Chicago, Ill. : Dorsey Press"
88,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4. ed",Belmont : Wadsworth
89,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4th ed","Belmont, Calif. : Wadsworth Pub. Co."
90,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1986
4th ed",Chicago : Dorsey
91,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner,Print book,Polish,1985,Warszawa : Państwowe Wydaw. Naukowe
92,549028728.0,"Структура социологической теории /
Struktura sot︠s︡iologicheskoĭ teorii",by Jonathan H Turner; Gennadiĭ Vasilʹevich Osipov; Kaganova O.S.; et al,Print book,Russian,1985,"Прогресс, Moskva : Progress"
93,549028728.0,Struktura sociologičeskoj teorii : per. s angl.,by Dž Terner,Print book,Russian,1985,Moskva : Progress
94,549028728.0,Struktura sociologičeskoj teorii,by Jonathan H Turner,Print book,Russian,1985,Moskva : Progress
95,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Jacek Szmatka; Piotr Sztompka,Print book,Polish,1985,Warszawa : Państwowe Wydaw. Naukowe
96,549028728.0,Struktura sociologičeskoj teorii,by Jonathan H Turner; Gennadij Vasilʹevič Osipov; Kaganova O. S.; et al,Print book,Russian,1985,Moskva : Progress
97,549028728.0,Struktura sociologičeskoj teorii,by Jonathan H Turner; Gennadij V Osipov,Print book,Russian,1985,Moskva : Progress
98,549028728.0,Struktura sociologičeskoj teorii,by Jonathan H Turner; Gennadij Vasil'evič Osipov,Print book,Russian,1985,"Moskva : ""Progress"""
99,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1982
3rd ed","Homewood, Illinois. : Dorsey Press"
100,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1982
3. ed","Homewood, Ill. : Dorsey P."
101,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1982
3rd ed","Homewood, Ill. : Dorsey Press"
102,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1982
3. ed","Homewood, Ill. : Dorsey Press"
103,549028728.0,The structure of sociological theory,by Jonathan H Turner,eBook : Document,English,"1982
3rd ed","Homewood, Ill. : Dorsey Press"
104,549028728.0,"社會學理論의構造 /
Sahoehak iron ŭi kujo",by Jonathan H Turner; Chin-gyun Kim,Print book,Korean,"1982
Ch'op'an","한길사, Sŏul T'ŭkpyŏlsi : Han'gilsa"
105,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1982,"Homewood, IL : Dorsey Press"
106,549028728.0,"사회학 이론 의 구조 /
Sahoehak iron ŭi kujo",by Jonathan H Turner; Chin-gyun Kim,Print book,Korean,"1981
Che 1-p'an","한길사, Sŏul : Han'gilsa"
107,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Revised edition","Homewood, Ill., The Dorsey Press"
108,549028728.0,The structure of sociological theory.,by Jonathan Hugh Turner,Print book,English,"1978
Rev. ed","Homewood, Ill. : Dorsey Press"
109,549028728.0,The structure of sociological theory.,by Jonathan H Turner,Print book,English,"1978
Rev. ed","Homewood, Ill., the Dorsey Press"
110,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1978,"Homewood, Illinois : The Dorsey Press"
111,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Rev. ed","Homewood, Ill. : Dorsey Press"
112,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Rev. ed","Homewood, Ill., Dorsey Press"
113,549028728.0,The structure of sociological theory : rev ed.,by Jonathan H Turner,Print book,English,1978,"Homewood, Ill. : The Dorsey Press"
114,549028728.0,The Structure of the sociological theory.,by Jonathan H Turner,Print book,English,1978,
115,549028728.0,The structure of sociological theory,by Jonathan H Turner,eBook : Document,English,"1978
Rev. ed","Homewood, Ill., Dorsey Press"
116,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Rev. ed","Homewood, IL : Dorsey ; Georgetown, Ont. : Irwin-Dorsey"
117,549028728.0,The structure of sociological theory,by Jonathan H Turner,eBook : Document,English,"1978
Rev. ed","Homewood, Ill. : Dorsey Press"
118,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Rev. ed","Homewood, Ill. : Dorsey P."
119,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1978,"Homewood, Ill."
120,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Revised ed","Homewood, Illinois : The Dorsey Press"
121,549028728.0,The structure of sociological theory,by Jonathan H Turner; Dorsey Press.,Print book,English,"1978
Rev. ed",Homewood : The Dorsey Press
122,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
Rev. ed","Homewood, Ill., Dorsey"
123,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1978
revised edition","Homewood, Ill. : The Dorsey Press"
124,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1978,"Homewood, Ill. : Dorsey Press"
125,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1977
[8th print.]",Homewood (Ill.) : Dorsey Press
126,549028728.0,The structure of sociological theory.,by Jonathan H Turner,Print book,English,"1976
6. print","Homewood, Ill. : Dorsey Pr."
127,549028728.0,Structure of sociological theory,by Jonathan H Turner,Print book,English,1976,"Homewood, Ill."
128,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1976,"Homewood, Illinois : Dorsey"
129,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1975
[4th print.]","Homewood, Ill., [etc.]"
130,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1974
5th ed","Belmont, Calif. : Wadsworth"
131,549028728.0,The structure of sociological theory.,by Jonathan H Turner,Print book,English,1974,"Homewood, Ill. ..."
132,549028728.0,The structure of sociological theory : (2. print.),by Jonathan H Turner,Print book,English,1974,"Homewood, Ill"
133,549028728.0,The structure of sociological theory,by Jonathan H Turner;,Print book,English,1974,"Homewood, Ill : Dorsey Press"
134,549028728.0,The structure of sociological theory.,by Jonathan H Turner;,Print book,English,"1974
2. print","Homewood, Ill. : Dorsey Press"
135,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1974,"Homewood, Ill. : Dorsey Press"
136,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1974,"Homewood, IL : Dorsey Press"
137,549028728.0,The structure of sociological theory,by Jonathan H Turner; Dorsey Press.,Print book,English,"1974
2nd print",Homewood : The Dorsey Press
138,549028728.0,The structure of sociological theory.,by Jonathan H Turner,Print book,English,1974,Homewood : Dorsey Press
139,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1974,"Homewood, Illinois : The Dorsey Press"
140,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,1974,"Homewood, Ill. : Dorsey Press"
141,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1974
2. print","Homewood, Ill. Dorsey"
142,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"1974
3. pr","Homewood, Ill. : Dorsey"
143,549028728.0,The structure of sociological theory,by Jonathan H Turner,eBook : Document,English,1974,"Homewood, Ill., Dorsey Press"
