,oclc_number,title,creator,contributor,description,date,book_format,language,publisher
14,746294918,Sociological theory.,"Kiran, Asha.",,,2010,280 pages,eng,Anmol Publications
15,29539031,Sociological theory ,"Merton, Robert King, 1910-2003.",,"Reprinted from: American journal of sociology, v. 50, May 1945.",[196-],pages 462-473 ; 28 cm.,eng,"Bobbs-Merrill, College Division"
16,  2011036064,Contemporary Sociological Theory ,,"Calhoun, Craig J. 1952-",3rd ed.,2012,620 Seiten : Illustrationen,eng,Wiley-Blackwell
17,1045596725,Sociological Theory,"Burgess, Dejerius.",,Description based upon print version of record.,2018,1 online resource (295 p.),eng,ETP
18,474167156,Sociological theory ,,"Collins, Randall",,1984,"xxi, 428 s",eng,Jossey-Bass
19,1056019277,Sociological theory ,"Ritzer, George.","Goodman, Douglas J.","6th ed., 'International edition' - front cover.",2003,616p ; 23 cm.,eng,McGraw-Hill
20,70769432,Social action systems : foundation and synthesis in sociological theory ,"Fararo, Thomas J.",,,2001,"1 online resource (x, 319 pages)",eng,Praeger
21,45731353,Sociology and the twilight of man : homocentrism and discourse in sociological theory ,"Lemert, Charles C., 1937-",,Homocentrism and sociological discourse -- Axiomatic explanation: George Homans -- Theory constructionism: Hubert Blalock -- Analytic realism: Talcott Parsons -- Symbolic interactionism: Herbert Blumer -- Phenomenological sociology: Schutz/Berger/Luckmann -- Ethnomethodology: Aaron Cicourel -- Critical theory: Juergen Habermas -- Homocentric sociology in the twilight.,"1980, ©1979","1 online resource (xiii, 276 pages).",eng,Southern Illinois University Press
22,441862556,"Perspectives on sociological theory. Vol. 2, Micro-sociological theory ",,"Helle, Horst J.",,1986,"IX, 170 str. ; 22 cm.",eng,Sage
23,553386995,Classical sociological theory ,,"Calhoun, Craig,","2nd ed., reprint.",2009,"XII, 496 Seiten ; 25 cm.",eng,Blackwell
24,722140455,An introduction to sociological theory.,"Vine, Margaret Wilson.",,[2d ed.].,[1969],"1 online resource (xvii, 382 pages)",eng,D. McKay Co
25,490113591,Contemporary sociological theory ,"Ritzer, George, (1940- ...).,",,3rd ed.,1993,"xxv, 608 p. ; 23 cm",eng,Mc Graw-Hill
26,918215421,Lévi-Strauss : structuralism and sociological theory ,"Badcock, C. R.",,"""First published in 1975. This edition first published in 2015""--T.p. verso.","2015, c1975",125 p. ; 25 cm.,eng,Routledge
27,56527256,Engendering the social : feminist encounters with sociological theory ,,"Marshall, Barbara L.",Contributions resulted from a series international meetings on feminism and sociological theory since 1998.,©2004,"ix, 223 pages ; 24 cm",eng,Open University Press
28,   00266562 ,Trust : a sociological theory ,"Sztompka, Piotr.",,Transferred to digital print.,2006,"XII, 214 Seiten : Diagramme.",eng,Cambridge Univ. Press
29,443605828,Modern sociological theory ,"Waters, Malcolm, 1946-",,,"2000, cop. 1994","XII, 368 str. : graf. prikazi ; 24 cm.",eng,Sage
30,832548448,Sociological theory 1983,,"Collins, Randall",,1983,"XXIII, 355 Seiten",eng,Jossey-Bass Publ
31,889674578,Sociological theory in use ,"Menzies, Kenneth.",,Includes index.,2015,1 online resource (265 pages).,eng,Routledge
32,992577844,INVESTIGATING SOCIOLOGICAL THEORY.,,,,2018,p. cm.,eng,SCITUS ACADEMICS LLC
33,870589301,Contemporary Sociological Theory.,"Adams, Bert N.","Sydie, R. A.","""""The strengths of this text are the breadth of theories covered; the integration of gender-related topics3D family, work, religion; the use of substantial quotes from primary texts; the consistent inclusion of methodological issues ... I have no doubt that it will find a solid position in the field of theory texts.""""--Kathleen Slobin, North Dakota State University.",2002,1 online resource (305 pages),eng,SAGE Publications
34,  2017034705,Contemporary sociological theory and its classical roots : the basics ,"Ritzer, George,","Stepnisky, Jeffrey,",Fifth edition.,,"xviii, 422 pages ; 23 cm",eng,
35,932833193,Sociological theory,,,,1997-,,eng,Blackwell
36,  2008015395,Sociological theory ,,"Wallace, Walter L.",,[2008],"xiv, 296 p. : illustrations ; 23 cm",eng,AldineTransaction
37,941876764,Sociological theory : pretence and possibility.,"Dixon, Keith.",,,2016,,eng,Routledge
38,894633213,Emile Durkheim's contributions to sociological theory ,"Gehlke, Charles Elmer, 1884-",,1st AMS edition.,,188 pages ; 23 cm.,eng,
39,   97020465 ,Working for equity in heterogeneous classrooms : sociological theory in practice ,,"Cohen, Elizabeth G., 1931-2005.","This volume provides the theory and research on which Elizabeth Cohen's Designing Groupwork: Strategies for the Heterogeneous Classroom (1994), now a classic resource in curriculum, was based. Working for Equity in Heterogeneous Classrooms documents, with systematic data collection and analysis, how it is possible to abolish ability grouping without sacrificing the intellectual challenge of the curriculum. This unique illustration of the practical application of sociological theory and research strategies shows how they can be utilized in reconstructing classrooms to simultaneously achieve goals of equity and development of higher order thinking. The innovation of this approach, Complex Instruction (CI), has a systematic knowledge base that permits examination of implementation, staff development, equal-status interaction, and outcomes of achievement and cognitive development. The work of this group of researchers is testimony to the exciting potential that sociological theory and research have for the field of education. ... Publisher description.",©1997,"xi, 317 pages : illustrations ; 24 cm.",eng,Teachers College Press
40,57382941,Constructive sociological theory ,"Masaryk, T. G. (Tomáš Garrigue), 1850-1937.","Woolfolk, Alan.",,©1994,"xvi, 370 pages ; 24 cm",eng,Transaction Publishers
41,11539975,"Sociological theory; present-day sociology from the past,","Borgatta, Edgar F., 1924-","Meyer, Henry Joseph, 1913-",,1961 [©1956],546 pages 24 cm,eng,Knopf
42,246031221,Sociological theory construction ,"Gibbs, Jack P.",,Literaturverz. S. [389] - 405.,1972,416 Seiten : Diagramme,eng,Dryden Press
43,782146525,Contemporary sociological theory ,"Handel, Warren H.",,,©1993,"XI, 240 p. ; 24 cm",eng,Prentice Hall
44,959738701,Symposium on sociological theory ,,"Gross, Llewellyn,",,©1959,"ix, 542 pages",eng,Harper & Row
45,  2015027854,Sociological theory in the contemporary era : text and readings ,,"Appelrouth, Scott, 1965-",Third edition,,"xx, 655 s. : illustrations",eng,
46,  2006040136,Classical sociological theory ,,"Kimmel, Michael S. 1951-",2. ed.,2007,"XII, 420 Seiten ; 24 cm",eng,Oxford Univ. Press
47,935190161,Back to sociological theory : the construction of social orders.,"Mouzelis, Nicos P.",,,2014,,eng,Palgrave Macmillan
48,760861696,Sociological theory : inquiries and paradigms.,"Gross, Llewellyn.",,,1975,3 98 pages,eng,Allied Publishers
49,476744269,"Natural women, cultured men : a feminist perspective on sociological theory ",,"Sydie, R. A. (Sydie, Rosalind A)",Reprint.,1996,"x, 268 s. ; 24 cm",eng,Open University Press
50,476094165,General Sociology : an Exposition of the Main Development in Sociological Theory from Spencer to Ratzenhofer.,"Small, Albion Woodbury.",,"Optrykt efter udgaven Chicago, Ill. : The University of Chicago Press, 1905.",[2008?],739 s.,eng,Kessinger Pub
51,842888917,Scientific Knowledge and Sociological Theory.,"Barnes, Barry.",,,2013,1 online resource,eng,Routledge
52,  2016017160,Explorations in classical sociological theory : seeing the social world ,"Allan, Kenneth, 1951-","Daynes, Sarah,",Fourth edition.,,"xv, 351 pages ; 26 cm",eng,
53,29552396,The role-set : problems in sociological theory ,"Merton, Robert King, 1910-2003.",,"Reprinted from: British journal of sociology, v. 8, June 1957.",[196-],pages 106-120 ; 28 cm.,eng,Bobbs-Merrill
54,1049149908,The challenge of modernity : Simmel's sociological theory ,"Fitzi, Gregor,",,Introduction: Georg Simmel and sociological grand theory -- Theory of modernity -- Sociological epistemology -- Sociology of culture -- Sociological anthropology -- Social ethics -- Outlook: oblivion and rediscovery -- Bibliography -- Index.,,1 online resource.,eng,
55,15195189,Sociological theory since 1945 ,"Alexander, Jeffrey C.",,Includes index.,1987,[432] pages ; 22 cm,eng,Hutchinson Education
56,751585312,Contemporary sociological theory : an integrated multi-level approach ,"Johnson, D. Paul.",,Originally published: 2008.,2011,1 volume ; 24 cm,eng,Springer
57,1004382604,Handbook of Contemporary Sociological Theory.,,"Abrutyn, Seth","This Handbook provides the hidden common threads that tie sociological inquiry together and featuring eminent scholars, it separates itself from its predecessors in substance and organization. Rather than rehashing old debates or longingly gazing at the past, this book presents sociologists with new ways of conceptualizing the organization and presentation of sociological theory. At the heart of this Handbook's vision is the twin goals of making theory a viable enterprise by reconceptualizing how we teach theory and keeping theory closely tied to its empirical applications. Three strategies are offered: (1) Elucidating how classic issues like integration or interaction are interrogated today; (2) Presenting a coherent vision of the social levels of reality that theorists work on such as communities, groups, and the self as well as how the coherence of these levels speaks to the macro-micro link; and, (3) Theorizing the social world rather than celebrating theorists or theories; that is, one can look at how theory is used holistically to understand the constraints the social world places on our lived experience or the dynamics of social change. Hence, in the second decade of the 21st century, it has become clear that sociology is at a crossroads as the number of theorists and amount of theory available is increasingly unmanageable and unknowable by the vast majority of professionals and students. As such, this Handbook of Contemporary Sociological Theory presents the novice and the expert with the a roadmap for traversing this crossroad and building a more coherent, robust, and cumulative sociology.",June 2017,1 online resource.,eng,Springer
58,854714277,"Theory the Newsletter of the Research Committee on Sociological Theory, International Sociological Assocation.",,,,,Online-Ressource.,eng,
59,851635464,Contemporary social and sociological theory : visualizing social worlds,,"Allan, Kenneth",3. ed.,©2013,466 p.,eng,SAGE Publications
60,59417339,"The roots of sociological theory, 1700-1920 ",,"Boudon, Raymond, 1934-",In slip case.,2000,"4 volumes (xliii, 348 pages, 399 pages, 420 pages, 423 pages) : illustrations ; 25 cm.",eng,SAGE
61,468505385,Developments in marxist sociological theory : modern social problems and theory ,,"Zdravomyslov, Andrej Grigorʹevič.",Bibliogr. à la fin de chaque ch. Index.,1986,125 p. ; 23 cm.,eng,Sage
62,   93036253 ,One world--many worlds : contemporary sociological theory ,"Knapp, Peter (Peter Hazard)",,,©1994,"xvi, 460 pages : illustrations ; 25 cm",eng,HarperCollins College Publishers
63,  2014031195,Sociological theory in the classical era : text and readings ,"Edles, Laura Desfor.","Appelrouth, Scott, 1965-",Third edition.,,"ix, 453 pages ; 26 cm",eng,
64,937423587,Sociological theory of value.,Natalia Canto Mila.,,,2015,1 online resource,eng,Transcript-Verlag
65,22878184,Modern sociological theory in continuity and change ,,"Boskoff, Alvin.",,"©1966, ©1957","xiii, 756 pages ; 24 cm",eng,"Holt, Reinhart and Winston"
66,   87011589 ,Recapturing Marxism : an appraisal of recent trends in sociological theory ,,"Levine, Rhonda F.","Marxism, Neo-Marxism, and U.S. sociology / by Rhonda F. Levine and Jerry Lembcke -- Crisis and vitalization / by Albert Szymanski -- New classes and old theories / by Peter Meiksins -- Class and class capacities / by Jerry Lembcke -- Bringing classes back in / by Rhonda F. Levine -- The limits of the world-system perspective / by Alex Dupuy and Barry Truchil -- Race, ethnicity, and class / by James A. Geschwender -- Recent ideological tendencies in urban and regional research / by Richard Peet -- Behind the veil of neutrality / by Peter Seybold -- Feminism / by Albert Szymanski -- Thinking about social class / by Scott G. McNall.",1987,"viii, 255 pages : illustrations ; 25 cm",eng,Praeger
67,827629289,The mosaic of sociological theory ,"Boskoff, Alvin.",,,1972,276 pages,eng,Thomas Y Cromwell
68,891383596,Discovering sociology : studies in sociological theory and method ,"Rex, John,",,,,1 online resource (299 pages) : illustrations.,eng,
69,231326107,A sociological theory of law ,"Podgórecki, Adam.",,,1991,"XII, 273 Seiten.",eng,Giuffrè
70,21915482,Sociological theory : classical founders and contemporary perspectives ,"Johnson, Doyle Paul.",,,©1986,"xvii, 597 pages ; 24 cm",eng,Macmillan 
71,220291371,The environmental basis of society : a study in the history of sociological theory ,"Thomas, Franklin.",,"Originally published: New York : Century Co., 1925.",1965,"vi, 336 pages ; 23 cm.",eng,Johnson Reprint Corp
72,   91078389 ,Pure and applied sociological theory : problems and issues ,"Larson, Calvin J.",,"Pure and applied sociology : an historical overview -- Pure sociological theory -- Applied sociological theory -- Philosophical problems and issues in contemporary social science -- Ethics, morals, and values in sociological theory -- Social theory and social policy -- Summary, discussion, and conclusion.",©1993,"xiii, 172 pages ; 24 cm",eng,Harcourt Brace Jovanovich College Publishers
73,   83177073 ,Accounts and action : Surrey conferences on sociological theory and method ,,"Gilbert, G. Nigel.",,©1983,"vii, 190 pages : illustrations ; 23 cm.",eng,Gower
74,   87030256 ,Literary methods and sociological theory : case studies of Simmel and Weber ,"Green, Bryan S. R.",,,1988,"viii, 302 pages ; 24 cm",eng,University of Chicago Press
75,757486902,Foundation of sociological theory.,"Abel, Theodore.",,,1980,258 pages ; 21 cm,eng,Rewat Publicaions
76,965336404,Sociological Theory and Research Methods ,,Discovery Education (Firm),Interest grade level: 9 & up.,,"1 online resource (1 video file (26 min., 57 sec.)) : sound, color.",Closed-captioned.,
77,5527482,Social mechanisms; studies in sociological theory.,"Karlsson, Georg, 1917-",,,[1959],156 pages illustrations 25 cm,eng,Free Press
78,769104264,"The making of sociology : a study of sociological theory / Dl. 2, Developments.","Fletcher, Ronald.",,,1973,"XXV, 855 p. ; 23 cm.",eng,Scribner
79,244706274,Classical sociological theory : a positivist's perspective ,"Turner, Jonathan H.",,,©2004,"xi, 205 pages : illustrations ; 23 cm",eng,Wadsworth/Thomson Learning
80,780511342,Sociological theory : its development and major paradigms ,"Kinloch, Graham Charles.",,,cop. 1977,"X, 319 str. : ilustr. ; 24 cm.",eng,McGraw-Hill
81,   88013543 ,Sociological theory ,"Maynard, Mary, 1950-",,"Surveys the topic of sociological theory, examining both general theory and specific trends such as positivism and Marxism.","1990, ©1989",102 pages ; 20 cm.,eng,Longman
82,991786524,SOCIOLOGICAL THEORY.,"KUNDU, ABHIJIT.",,,2012,,eng,PEARSON EDUCATION INDIA
83,797482560,Power and progress : essays on sociological theory ,"Bierstedt, Robert.",,,1975,"VIII, 330 p. ; 20 cm",eng,McGraw-Hill
84,646825855,Ideology and contemporary sociological theory ,"Kinloch, Graham C. (Graham Charles), 1943-",,,©1981,"1 online resource (xii, 194 pages) : illustrations.",eng,Prentice-Hall
85,   84007501 ,Constructions of deviance in sociological theory : the problem of commensurability ,"Wright, Charles, 1943-",,,©1984,"xv, 207 pages ; 24 cm",eng,University Press of America
86,256321913,"Explaining delinquency : Construction, test, and reformulation of a sociological theory ","Empey, LaMar T.","Lubeck, Steven G.",,1973,"XV, 223 Seiten.",eng,Heath Lexington Books
87,870518670,Capitalism and classical sociological theory ,"Bratton, John.",,Second edition.,"[2014], ©2014","xv, 422 pages : illustrations ; 23 cm",eng,University of Toronto Press
88,941439927,"Power, rule and domination : a critical and empirical understanding of power in ... sociological theory and organizational life.","Clegg, Stewart.",,,2015,,eng,Routledge
89,84853484,Sociological theory in research practice ,"Freidheim, Elizabeth A.",,"Title from summary screen, viewed on February 22, 2007.",1976,1 online resource.,eng,Transaction Publishers
90,sn 88001510 ,Key issues in sociological theory.,,,"Vols. for <1987-> published: Newbury Park, Calif.",1985-,v. : ill. ; 23 cm.,eng,Sage Publications
91,   77370027 ,Sociological theory and social development ,"Galtung, Johan.",,,1968,32 pages ; 28 cm.,eng,Transition Books 
92,  2009934989,Hidden threads : a Christian critique of sociological theory ,"Heddendorf, Russell.","Vos, Matthew.",[2nd ed.].,©2010,"xii, 242 pages ; 23 cm",eng,University Press of America
93,780751281,Models of social order : an introduction to sociological theory ,"Klapp, Orrin Edgar, 1915-",,,[1973],"XIV, 334 p. : ill. ; 23 cm.",eng,Mayfield
94,258545064,The woman question in classical sociological theory ,"Kandal, Terry R.",,3. print.,1993,"XIX, 341 Seiten",eng,Florida Internat. Univ. Press
95,958105558,Rethinking sociological theory : introducing and explaining a scientific theoretical sociology ,"Sanderson, Stephen K.",,"""First published 2012 by Paradigm Publishers""--Title page verso.",2016,"1 online resource (xix, 267 pages)",eng,Routledge
96,797479754,The history and nature of sociological theory ,"Rossides, Daniel W.",,,©1978,XVIII. 567 p. : ritr. ; 24 cm,eng,Houghton Mifflin
97,923424104,"Gabriel tarde, an essay in sociological theory.","Davis, Michael Marks.",,,2013,,eng,Theclassics Us
98,958104926,Toward a sociological theory of information ,"Garfinkel, Harold.","Rawls, Anne Warfield, 1950-",Originally published 2008 by Paradigm Publishers.,2016,"1 online resource (vi, 328 pages)",eng,Routledge
99,1021232194,Jung and sociological theory : readings and appraisal ,,"Walker, Gavin",Includes bibliographical references and index.,,"vi, 223 Seiten",eng,
